Gender,Education Level,Marital Status,Income,Credit Score,Employment Status,Debt-to-Income Ratio,Risk Rating
Female,Bachelor's,Single,108304,675,Self-employed,0.134004327,High
Non-binary,Bachelor's,Widowed,,728,Employed,0.345462911,Low
Female,High School,Widowed,118679,731,Employed,0.353951633,Low
Male,Master's,Single,89126,643,Employed,0.131449159,High
Female,PhD,Divorced,35198,718,Unemployed,0.155828771,Low
Non-binary,PhD,Widowed,104677,784,Unemployed,0.304836002,Low
Non-binary,PhD,Single,,699,Unemployed,0.181094003,Low
Female,Master's,Married,80047,697,Employed,0.36146304,High
Non-binary,Master's,Divorced,80523,604,Employed,0.112270249,Low
Non-binary,PhD,Divorced,117835,640,Self-employed,0.41214393,High
Non-binary,PhD,Divorced,,604,Employed,0.410342991,High
Female,Bachelor's,Divorced,,750,Self-employed,0.448739802,Low
Non-binary,Master's,Married,91656,661,Self-employed,0.515295615,High
Non-binary,Master's,Single,87687,791,Unemployed,0.315225662,High
Female,PhD,Divorced,81289,722,Employed,0.248479439,Low
Female,Bachelor's,Widowed,27807,681,Employed,0.497042103,High
Male,Bachelor's,Widowed,,711,Employed,0.383451591,Low
Female,PhD,Single,20987,640,Employed,0.442812684,Low
Non-binary,Master's,Widowed,61876,791,Unemployed,0.114673538,Low
Female,Master's,Widowed,108454,716,Unemployed,0.588002314,High
Male,Master's,Widowed,,753,Self-employed,0.104689105,Low
Female,PhD,Single,87346,,Employed,0.556599054,Low
Male,High School,Widowed,28583,611,Employed,0.200143793,High
Female,PhD,Divorced,,705,Employed,0.119108756,Low
Female,High School,Married,31340,790,Self-employed,0.195110048,Low
Male,Bachelor's,Widowed,50737,624,Self-employed,0.538422931,High
Non-binary,Master's,Widowed,88056,684,Employed,0.361356668,Low
Male,PhD,Single,115287,,Unemployed,0.39251234,Low
Male,Bachelor's,Divorced,39330,769,Self-employed,0.454610825,Low
Non-binary,PhD,Divorced,111594,715,Unemployed,0.100815126,Low
Female,High School,Divorced,102789,742,Employed,0.271307607,High
Non-binary,Bachelor's,Widowed,,793,Employed,0.435937741,Low
Non-binary,High School,Divorced,27313,786,Self-employed,0.15104681,Low
Male,PhD,Widowed,87228,602,Self-employed,0.555169433,Low
Female,Bachelor's,Divorced,101844,688,Employed,0.251662122,Low
Male,Master's,Widowed,102949,637,Self-employed,0.351584417,Low
Non-binary,High School,Married,28673,699,Unemployed,0.408040672,High
Female,Bachelor's,Widowed,35973,663,Unemployed,0.432494288,High
Male,Bachelor's,Single,62011,747,Employed,0.176553915,High
Female,High School,Divorced,,618,Self-employed,0.242235447,Low
Non-binary,Master's,Single,42942,,Self-employed,0.13836783,Low
Non-binary,High School,Divorced,111205,736,Self-employed,0.273947007,Low
Male,Bachelor's,Married,114486,704,Self-employed,0.400318279,Low
Female,Bachelor's,Single,42064,760,Employed,0.201900219,Low
Female,PhD,Married,80883,699,Employed,0.561233428,High
Female,PhD,Widowed,31231,712,Employed,0.10750652,High
Male,Bachelor's,Married,85651,799,Unemployed,0.541920866,High
Male,PhD,Single,91982,602,Unemployed,0.523766671,Low
Male,Bachelor's,Divorced,85839,686,Self-employed,0.260055213,Low
Non-binary,Bachelor's,Single,109590,625,Self-employed,0.519828253,Low
Non-binary,Bachelor's,Widowed,68960,675,Employed,0.436279996,High
Non-binary,High School,Single,58217,658,Unemployed,0.525407258,High
Male,Master's,Widowed,105237,,Unemployed,0.302355198,Low
Non-binary,Master's,Widowed,80656,710,Self-employed,0.578239275,High
Non-binary,Bachelor's,Married,105916,750,Unemployed,0.269984459,High
Non-binary,PhD,Widowed,111627,630,Employed,0.394882648,High
Male,Master's,Married,50374,,Self-employed,0.431651113,High
Female,Bachelor's,Single,29879,,Employed,0.355564145,Low
Male,Master's,Married,,,Unemployed,0.41629395,High
Non-binary,Master's,Single,74850,650,Self-employed,0.191276675,Low
Male,PhD,Widowed,62530,754,Employed,0.259699331,High
Male,Bachelor's,Single,90179,693,Self-employed,0.584147345,Low
Non-binary,High School,Widowed,117507,685,Self-employed,0.375782652,Low
Male,High School,Married,34002,738,Unemployed,0.17305568,Low
Non-binary,Master's,Married,74333,693,Unemployed,0.522094083,Low
Male,High School,Divorced,109067,790,Self-employed,0.398211352,High
Female,Master's,Married,54022,775,Employed,0.244654442,Low
Non-binary,PhD,Divorced,67278,742,Self-employed,0.499235055,High
Male,Master's,Divorced,37540,673,Employed,0.505902726,High
Female,PhD,Single,,698,Self-employed,0.246152951,High
Non-binary,High School,Divorced,71171,642,Employed,0.4438352,High
Non-binary,High School,Divorced,98283,650,Unemployed,0.486638679,Low
Male,High School,Single,27826,736,Employed,0.253161468,High
Male,High School,Single,96730,,Self-employed,0.142385514,High
Female,PhD,Divorced,84934,720,Employed,0.477975951,Low
Non-binary,Master's,Single,62296,744,Self-employed,0.203052807,High
Female,PhD,Married,111551,632,Employed,0.58737792,High
Male,Bachelor's,Widowed,47260,608,Employed,0.346898528,Low
Male,Bachelor's,Divorced,65538,646,Employed,0.588080576,Low
Female,High School,Single,100352,621,Employed,0.44425245,High
Female,Bachelor's,Widowed,113925,611,Unemployed,0.470940166,Low
Male,Bachelor's,Divorced,81971,646,Employed,0.377456979,High
Female,Bachelor's,Widowed,47774,,Unemployed,0.509441806,High
Non-binary,Master's,Widowed,114499,779,Self-employed,0.284052614,Low
Female,Bachelor's,Single,83471,793,Self-employed,0.511546796,Low
Non-binary,Master's,Widowed,56080,702,Employed,0.227039443,Low
Non-binary,High School,Widowed,21320,733,Unemployed,0.336044823,Low
Female,Bachelor's,Divorced,54560,760,Employed,0.568217248,Low
Female,Master's,Divorced,115381,727,Self-employed,0.451811592,Low
Non-binary,High School,Single,75122,,Employed,0.321867162,High
Male,Master's,Divorced,81683,693,Employed,0.351319135,Low
Male,Bachelor's,Single,104661,771,Employed,0.508536076,High
Non-binary,Master's,Widowed,72299,676,Unemployed,0.546674527,High
Non-binary,Master's,Married,78630,695,Self-employed,0.430250038,Low
Male,Master's,Widowed,106009,681,Self-employed,0.587210053,Low
Non-binary,Master's,Single,37330,797,Unemployed,0.45114276,High
Non-binary,Bachelor's,Single,,688,Unemployed,0.540746534,High
Female,PhD,Single,99688,732,Unemployed,0.430234003,High
Female,Master's,Single,,791,Unemployed,0.174938787,Low
Male,High School,Single,,690,Self-employed,0.112988652,Low
Male,PhD,Married,114018,636,Employed,0.261044262,High
Female,PhD,Divorced,88309,724,Self-employed,0.253430491,Low
Non-binary,High School,Divorced,62262,606,Unemployed,0.545189542,Low
Female,High School,Widowed,35070,642,Self-employed,0.561000552,High
Female,PhD,Single,39629,622,Unemployed,0.524358189,Low
Non-binary,Bachelor's,Single,98672,792,Self-employed,0.484613572,Low
Male,High School,Divorced,83094,,Unemployed,0.185278819,Low
Female,High School,Widowed,35203,726,Unemployed,0.556476416,High
Male,Master's,Single,67940,618,Unemployed,0.383985345,Low
Male,PhD,Divorced,,697,Employed,0.446923387,Low
Female,High School,Single,61291,639,Unemployed,0.168999693,Low
Female,Bachelor's,Widowed,42327,655,Employed,0.437615532,High
Male,PhD,Married,100562,785,Self-employed,0.193412716,Low
Female,Master's,Married,34284,775,Self-employed,0.400353991,High
Male,Master's,Married,115066,799,Self-employed,0.228569153,Low
Male,PhD,Divorced,26441,,Unemployed,0.415477428,Low
Non-binary,Bachelor's,Divorced,98311,689,Employed,0.388665461,Low
Male,Bachelor's,Widowed,63148,660,Self-employed,0.334344621,Low
Non-binary,PhD,Married,114436,775,Employed,0.102012992,Low
Male,Bachelor's,Single,94693,718,Unemployed,0.323849811,Low
Non-binary,High School,Widowed,117284,716,Self-employed,0.307246407,High
Non-binary,High School,Married,,694,Employed,0.35645066,High
Female,PhD,Married,102245,686,Unemployed,0.192680772,High
Male,High School,Single,88173,746,Self-employed,0.538712246,Low
Non-binary,High School,Married,70807,745,Employed,0.433975274,Low
Non-binary,Bachelor's,Single,22944,668,Employed,0.448401898,High
Male,PhD,Married,29475,725,Employed,0.112003281,Low
Male,Bachelor's,Widowed,102141,636,Unemployed,0.493768432,High
Female,High School,Divorced,99314,656,Self-employed,0.123889568,Low
Male,Bachelor's,Single,25465,671,Self-employed,0.255003057,High
Female,High School,Widowed,104766,688,Employed,0.320768316,High
Non-binary,High School,Widowed,94099,,Employed,0.224805287,High
Non-binary,Bachelor's,Married,95630,,Unemployed,0.466649869,High
Male,Bachelor's,Widowed,89806,,Self-employed,0.281239008,Low
Female,Master's,Divorced,118995,787,Employed,0.488273727,High
Non-binary,High School,Widowed,63322,773,Employed,0.381467098,High
Non-binary,High School,Divorced,100845,606,Self-employed,0.107825326,High
Female,Master's,Single,34821,775,Unemployed,0.11872158,High
Female,PhD,Divorced,23477,612,Unemployed,0.293599287,High
Male,Master's,Divorced,33054,,Unemployed,0.51107983,High
Non-binary,Master's,Divorced,,687,Self-employed,0.139044029,Low
Non-binary,High School,Widowed,99671,669,Unemployed,0.433812231,High
Male,High School,Widowed,73953,710,Self-employed,0.555770849,High
Non-binary,Master's,Widowed,71500,734,Self-employed,0.248104199,Low
Female,PhD,Divorced,88669,720,Self-employed,0.575977216,Low
Non-binary,High School,Widowed,98886,695,Employed,0.441903682,Low
Non-binary,Bachelor's,Single,46953,627,Self-employed,0.233152718,High
Male,Master's,Widowed,,627,Self-employed,0.483204835,High
Female,High School,Married,89852,676,Self-employed,0.486273411,Low
Male,PhD,Divorced,87384,606,Self-employed,0.450293387,Low
Female,Bachelor's,Married,78360,608,Unemployed,0.112276192,Low
Male,High School,Single,57488,777,Employed,0.408146803,High
Non-binary,PhD,Widowed,64153,658,Employed,0.179217424,Low
Non-binary,Master's,Married,55059,756,Employed,0.494801779,Low
Female,Master's,Married,77564,612,Employed,0.453394498,High
Male,Master's,Widowed,,771,Employed,0.188338371,Low
Female,Master's,Married,104156,,Unemployed,0.491105474,Low
Female,Master's,Divorced,,642,Employed,0.450881946,Low
Male,PhD,Single,,672,Employed,0.294590006,Low
Male,Master's,Divorced,64764,600,Employed,0.454795899,High
Female,High School,Widowed,118580,636,Self-employed,0.120713199,Low
Female,High School,Married,41961,612,Employed,0.300160555,Low
Female,Master's,Divorced,84766,622,Unemployed,0.507552882,High
Female,Bachelor's,Married,100664,725,Unemployed,0.143515494,Low
Non-binary,Master's,Divorced,44448,631,Self-employed,0.194279933,High
Male,PhD,Widowed,26518,759,Employed,0.323939058,Low
Non-binary,PhD,Single,,645,Unemployed,0.569969758,High
Female,High School,Single,113923,601,Employed,0.270090609,High
Male,PhD,Divorced,107732,750,Unemployed,0.295658091,High
Female,Bachelor's,Divorced,117869,745,Employed,0.550514099,Low
Male,Bachelor's,Married,36967,783,Unemployed,0.434924574,High
Female,Bachelor's,Married,58785,644,Employed,0.210365536,Low
Male,Bachelor's,Single,83969,671,Employed,0.45700939,Low
Non-binary,PhD,Divorced,111109,664,Unemployed,0.201180173,High
Non-binary,PhD,Married,24507,676,Self-employed,0.561908292,Low
Female,PhD,Widowed,52548,766,Employed,0.240513252,Low
Non-binary,Bachelor's,Widowed,48287,610,Unemployed,0.226010987,Low
Female,High School,Divorced,,798,Unemployed,0.506575896,Low
Male,PhD,Married,93471,784,Employed,0.211859021,Low
Non-binary,High School,Divorced,36600,724,Unemployed,0.179215904,Low
Female,Master's,Widowed,117778,,Unemployed,0.478087887,High
Male,Bachelor's,Widowed,91114,,Self-employed,0.280709107,High
Male,Bachelor's,Widowed,24383,697,Employed,0.59818354,Low
Male,PhD,Married,37986,741,Unemployed,0.24326904,High
Male,PhD,Married,100520,722,Self-employed,0.311233278,Low
Female,Bachelor's,Single,55423,785,Employed,0.3365854,High
Non-binary,High School,Widowed,107151,754,Employed,0.302066201,Low
Male,High School,Married,23794,754,Unemployed,0.534887509,High
Male,Bachelor's,Single,107852,729,Unemployed,0.269008414,High
Female,Master's,Married,38047,752,Unemployed,0.34395259,Low
Female,High School,Single,,679,Unemployed,0.35200248,High
Female,Bachelor's,Divorced,43324,725,Self-employed,0.305512596,Low
Non-binary,PhD,Widowed,,794,Self-employed,0.418625725,Low
Female,PhD,Divorced,64649,,Self-employed,0.459164232,High
Male,High School,Single,20530,,Unemployed,0.240660934,High
Male,Bachelor's,Divorced,117980,750,Employed,0.31971399,High
Male,PhD,Married,105783,649,Unemployed,0.17893033,High
Non-binary,PhD,Widowed,108291,708,Self-employed,0.269836565,High
Male,Bachelor's,Divorced,79893,641,Employed,0.18669614,High
Non-binary,Bachelor's,Divorced,21299,621,Self-employed,0.495208685,Low
Non-binary,Master's,Divorced,37829,618,Employed,0.156127674,Low
Male,PhD,Single,,643,Employed,0.557894575,Low
Male,Bachelor's,Divorced,82713,658,Employed,0.333555884,Low
Male,High School,Divorced,37373,743,Employed,0.303733068,Low
Male,Master's,Widowed,53921,787,Unemployed,0.551111406,High
Non-binary,High School,Married,,647,Self-employed,0.17412671,High
Male,High School,Divorced,52577,625,Employed,0.257840383,Low
Non-binary,Master's,Single,52903,736,Unemployed,0.472939031,High
Male,High School,Single,91859,604,Self-employed,0.109758532,High
Female,Bachelor's,Widowed,36489,609,Self-employed,0.591416431,Low
Female,High School,Single,,,Employed,0.53410713,High
Female,PhD,Married,77589,,Employed,0.412694907,Low
Male,Bachelor's,Single,102757,,Unemployed,0.567862751,High
Male,High School,Widowed,104879,711,Self-employed,0.488924258,High
Male,Bachelor's,Married,32328,688,Self-employed,0.588001653,Low
Male,Master's,Widowed,119430,690,Employed,0.22720463,Low
Male,High School,Married,83853,712,Employed,0.587184535,Low
Male,PhD,Widowed,,616,Unemployed,0.321816219,Low
Non-binary,Bachelor's,Married,33727,622,Self-employed,0.354035688,Low
Non-binary,PhD,Widowed,56660,671,Self-employed,0.172078055,Low
Male,PhD,Single,111951,706,Self-employed,0.204279665,Low
Female,PhD,Married,88993,705,Unemployed,0.16903071,Low
Male,Bachelor's,Married,,701,Unemployed,0.127195429,Low
Non-binary,PhD,Married,104614,648,Unemployed,0.321351019,High
Male,Master's,Married,99211,631,Unemployed,0.221320316,High
Non-binary,Master's,Divorced,,692,Employed,0.576416967,Low
Non-binary,High School,Divorced,82583,768,Self-employed,0.576255603,Low
Non-binary,High School,Single,98539,746,Employed,0.255359594,High
Male,Master's,Widowed,84162,606,Self-employed,0.389069671,Low
Female,Bachelor's,Single,25702,650,Employed,0.161250745,Low
Female,Bachelor's,Single,23582,736,Unemployed,0.464172349,Low
Female,Master's,Divorced,49018,783,Self-employed,0.404283373,High
Non-binary,PhD,Divorced,,638,Employed,0.32688169,Low
Female,PhD,Widowed,33515,,Unemployed,0.130864609,Low
Male,Master's,Single,114452,668,Self-employed,0.382632935,Low
Male,Bachelor's,Married,,,Unemployed,0.468533694,High
Male,Master's,Married,35782,735,Employed,0.406846919,Low
Male,Bachelor's,Single,22170,686,Self-employed,0.341188468,High
Male,PhD,Divorced,54563,698,Self-employed,0.111037568,High
Female,Bachelor's,Single,25156,667,Employed,0.585498385,High
Non-binary,Master's,Married,35299,625,Employed,0.574404363,Low
Non-binary,Bachelor's,Divorced,,700,Employed,0.561611008,High
Female,High School,Divorced,59015,774,Unemployed,0.263724816,Low
Male,PhD,Divorced,31480,721,Unemployed,0.568742283,Low
Non-binary,Bachelor's,Single,66815,662,Employed,0.393501878,Low
Male,Master's,Widowed,101738,744,Unemployed,0.443096626,Low
Non-binary,PhD,Single,74337,630,Employed,0.520813764,Low
Non-binary,Master's,Married,90687,782,Self-employed,0.314761757,Low
Female,High School,Married,,788,Self-employed,0.267405239,Low
Non-binary,Bachelor's,Divorced,47684,742,Employed,0.277608708,Low
Male,Bachelor's,Married,111352,688,Self-employed,0.290150955,Low
Male,PhD,Widowed,106151,626,Unemployed,0.599709538,Low
Male,PhD,Widowed,,630,Employed,0.341781193,Low
Male,High School,Widowed,,620,Self-employed,0.358132595,High
Female,Bachelor's,Widowed,102488,643,Self-employed,0.269315748,Low
Male,Bachelor's,Married,94667,768,Self-employed,0.426268032,Low
Female,High School,Divorced,49870,625,Self-employed,0.110209775,Low
Female,Bachelor's,Married,113526,621,Self-employed,0.578291338,Low
Non-binary,Master's,Married,117031,650,Self-employed,0.510807685,Low
Female,Bachelor's,Married,74240,633,Unemployed,0.351534961,Low
Non-binary,Bachelor's,Single,30352,722,Self-employed,0.585703827,High
Non-binary,High School,Widowed,,669,Employed,0.263591104,Low
Female,Bachelor's,Divorced,81517,711,Employed,0.437870492,Low
Non-binary,Bachelor's,Divorced,116794,703,Employed,0.581183936,High
Non-binary,PhD,Single,108586,625,Employed,0.478343891,High
Male,PhD,Single,,,Employed,0.145914007,High
Non-binary,Bachelor's,Single,34319,640,Unemployed,0.406965843,Low
Female,High School,Divorced,,655,Self-employed,0.597531006,High
Non-binary,PhD,Widowed,75452,673,Self-employed,0.387086853,High
Female,Master's,Married,116111,754,Unemployed,0.125178128,Low
Non-binary,PhD,Single,38638,696,Self-employed,0.509251679,High
Male,Bachelor's,Single,60753,778,Unemployed,0.27287163,High
Female,High School,Married,82813,689,Self-employed,0.50402506,Low
Non-binary,Master's,Married,56734,761,Unemployed,0.387846098,Low
Female,PhD,Married,58918,618,Employed,0.381804389,High
Non-binary,High School,Divorced,82670,,Unemployed,0.534612778,Low
Female,Master's,Widowed,47685,718,Unemployed,0.201201682,Low
Non-binary,Master's,Married,,626,Employed,0.103289409,High
Male,High School,Single,118835,722,Unemployed,0.37965399,High
Female,PhD,Divorced,62362,,Self-employed,0.125639534,Low
Male,PhD,Divorced,31217,,Unemployed,0.368675845,Low
Non-binary,Bachelor's,Single,57304,600,Unemployed,0.215709233,Low
Male,High School,Single,118759,,Unemployed,0.341140296,Low
Male,PhD,Divorced,118962,712,Self-employed,0.373723736,High
Non-binary,PhD,Divorced,37540,672,Self-employed,0.106682376,Low
